stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
"535",,"Karlovačka 97",,45.764811,15.926937,,,0,
"536",,"Karlovačka 157",,45.763265,15.917634,,,0,
"537",,"Petlja - ulaz",,45.759284,15.908632,,,0,
"538",,"Petlja - izlaz",,45.759876,15.898720,,,0,
"539",,"Hrastovička",,45.758098,15.892468,,,0,
"540",,"Put za Leskovac",,45.754105,15.885961,,,0,
"541",,"Dolenica",,45.752563,15.883585,,,0,
"542",,"MERCATONE",,45.749715,15.878935,,,0,
"543",,"Stupnik-crkva",,45.745006,15.870912,,,0,
"544",,"Donjostupnička",,45.745461,15.867389,,,0,
"545",,"Meglajci",,45.749750,15.854198,,,0,
"546",,"Stupnik-škola",,45.751590,15.847431,,,0,
"548",,"Lučko-centar",,45.760853,15.885182,,,0,
"549",,"Lučko",,45.769845,15.884047,,,0,
"550",,"Tržnica Jarun",,45.789891,15.930222,,,0,
"551",,"Crkva S.Mati Slobode",,45.786190,15.928490,,,0,
"552",,"Selska",,45.812093,15.941879,,,0,
"553",,"Zagorska",,45.806891,15.943668,,,0,
"554",,"Baštijanova",,45.801337,15.943368,,,0,
"556",,"Zagrebačka avenija",,45.793300,15.944103,,,0,
"565",,"Islandska",,45.772563,15.990624,,,0,
"566",,"Vatikanska",,45.767716,15.991898,,,0,
"567",,"Vatikanska-Sv.Mateja",,45.768102,15.998913,,,0,
"568",,"Kauzlarićev prilaz",,45.764702,16.002236,,,0,
"569",,"R.Terminali Jankomir",,45.796958,15.875676,,,0,
"570",,"KING CROSS",,45.797798,15.857841,,,0,
"571",,"Solidum",,45.801416,15.857227,,,0,
"572",,"Kovinska",,45.806308,15.858641,,,0,
"573",,"Josipa Lončara",,45.811845,15.869906,,,0,
"574",,"Mokrovićeva",,45.811336,15.873257,,,0,
"575",,"Jankomir",,45.811313,15.880337,,,0,
"576",,"Stenjevec",,45.811657,15.884447,,,0,
"577",,"Trg Mažuranića",,45.807901,15.969265,,,0,
"578",,"Adžijina",,45.807740,15.960870,,,0,
"581",,"Desinička",,45.807841,15.936368,,,0,
"582",,"Tomislavova",,45.808801,15.929955,,,0,
"583",,"Hanamanova",,45.805316,15.930127,,,0,
"584",,"Baštijanova",,45.801753,15.930236,,,0,
"585",,"Voltino",,45.800505,15.925867,,,0,
"587",,"Dom športova",,45.808158,15.953724,,,0,
"588",,"Petračićeva",,45.807310,15.956806,,,0,
"589",,"Adžijina",,45.807501,15.960206,,,0,
"608",,"Jarnovićeva 68",,45.790901,15.901405,,,0,
"609",,"Jarnovićeva 19",,45.791833,15.898198,,,0,
"610",,"Jarnovićeva 96",,45.793058,15.894551,,,0,
"611",,"Prečko-terminal",,45.794993,15.899685,,,0,
"612",,"Hatzeova",,45.791541,15.905657,,,0,
"614",,"Gospodska",,45.812880,15.887104,,,0,
"615",,"Prigornica",,45.815122,15.849533,,,0,
"617",,"Seljačke bune",,45.819522,15.833093,,,0,
"618",,"Kamenolom",,45.823378,15.836809,,,0,
"619",,"Sutinska Vrela36",,45.824023,15.840418,,,0,
"620",,"Podsusedsko Dolje",,45.826022,15.846235,,,0,
"621",,"Bengezi",,45.829455,15.849039,,,0,
"622",,"Ribićev put",,45.833328,15.852504,,,0,
"623",,"Podsusedski trg",,45.816681,15.836230,,,0,
"624",,"Dubravica 35",,45.821181,15.871099,,,0,
"625",,"Kancelak",,45.825448,15.870056,,,0,
"626",,"Kudekov put",,45.830386,15.870195,,,0,
"627",,"Dubravica okretište",,45.833129,15.869818,,,0,
"628",,"Trg S. Severa",,45.830635,15.905011,,,0,
"629",,"Zastavn.-nadvožnjak",,45.750177,15.890156,,,0,
"630",,"Zastavnice 1",,45.748468,15.888602,,,0,
"631",,"Hrvatski Leskovac",,45.743942,15.889177,,,0,
"632",,"Gornjodemerska",,45.737220,15.888561,,,0,
"633",,"Demerska 3",,45.734687,15.891821,,,0,
"634",,"Goli Breg",,45.731349,15.898020,,,0,
"636",,"Prisavlje",,45.791460,15.968656,,,0,
"637",,"Boćarski dom",,45.790340,15.962975,,,0,
"638",,"Vrhovec",,45.843144,15.952861,,,0,
"639",,"Vinogradi",,45.825285,15.947075,,,0,
"641",,"Vrhovec 62",,45.820723,15.947595,,,0,
"642",,"Zatišje",,45.815877,15.949114,,,0,
"643",,"Mandaličina",,45.813745,15.949111,,,0,
"644",,"Kuniščak",,45.815670,15.945336,,,0,
"645",,"Šestinski dol 58",,45.820845,15.944067,,,0,
"646",,"Šestin. dol odvojak",,45.824373,15.943512,,,0,
"647",,"Kestenovac-Drage",,45.827637,15.944949,,,0,
"648",,"Podfuščak",,45.831727,15.945419,,,0,
"649",,"Šestinski dol",,45.834021,15.945329,,,0,
"650",,"Tomislavova",,45.808883,15.927474,,,0,
"651",,"Sokolska",,45.805886,15.923414,,,0,
"652",,"Medarska",,45.804143,15.920616,,,0,
"653",,"Zagrebačka 190",,45.802052,15.917493,,,0,
"654",,"Ratarska",,45.799864,15.913554,,,0,
"655",,"Kožinčev put",,45.811466,15.905715,,,0,
"656",,"Švarčanska",,45.809466,15.903876,,,0,
"657",,"I.Brlić Mažuranić",,45.806459,15.901773,,,0,
"658",,"Nikole Gučetića",,45.806499,15.898380,,,0,
"659",,"Matije Divkovića",,45.804284,15.897184,,,0,
"660",,"Gornje Padine",,45.820105,15.889884,,,0,
"661",,"Perjavica 92",,45.826808,15.890686,,,0,
"662",,"Perjavica-Dominika M",,45.830819,15.894042,,,0,
"663",,"Reljkovićeva",,45.812277,15.954981,,,0,
"664",,"Jablanovac",,45.822155,15.938011,,,0,
"665",,"Stenjevečka",,45.807219,15.889239,,,0,
"666",,"Marina Tartaglie",,45.806562,15.894889,,,0,
"667",,"Prilaz b. Filipovića",,45.812208,15.934581,,,0,
"668",,"Institut za bilje",,45.751109,15.936750,,,0,
