trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint,start_service_area_id,end_service_area_id,start_service_area_radius,end_service_area_radius,continuous_pickup,continuous_drop_off,pickup_booking_rule_id,drop_off_booking_rule_id,start_pickup_dropoff_window,end_pickup_dropoff_window,mean_duration_factor,mean_duration_offset,safe_duration_factor,safe_duration_offset
t_1367404_b_29741_tn_17,16:00:00,16:00:00,2384134,11,,0,0,3372.52411482387,0,,,,,1,1,,,,,,,,
t_1367404_b_29741_tn_17,16:03:00,16:03:00,2574496,12,,0,0,3899.11722301853,0,,,,,1,1,,,,,,,,
t_1367404_b_29741_tn_17,16:06:00,16:06:00,2384175,13,,0,0,4176.42616748285,0,,,,,1,1,,,,,,,,
t_1367404_b_29741_tn_17,16:09:00,16:09:00,2384163,14,,0,0,4622.99695452091,0,,,,,1,1,,,,,,,,
t_1367404_b_29741_tn_17,16:11:00,16:11:00,2574450,15,,0,0,4893.24205415712,0,,,,,1,1,,,,,,,,
t_1367404_b_29741_tn_17,16:12:00,16:12:00,2384126,16,,0,0,5207.09384035,0,,,,,1,1,,,,,,,,
t_1367404_b_29741_tn_18,16:12:00,16:12:00,2384126,1,,0,0,0,0,,,,,1,1,,,,,,,,
t_1367404_b_29741_tn_18,16:13:00,16:13:00,2384166,2,,0,0,281.767775036468,0,,,,,1,1,,,,,,,,
t_1367404_b_29741_tn_18,16:16:00,16:16:00,2384154,3,,0,0,803.647509708825,0,,,,,1,1,,,,,,,,
t_1367404_b_29741_tn_18,16:18:00,16:18:00,2384155,4,,0,0,999.004133442488,0,,,,,1,1,,,,,,,,
t_1367404_b_29741_tn_18,16:20:00,16:20:00,2384168,5,,0,0,1146.77156137426,0,,,,,1,1,,,,,,,,
t_1367404_b_29741_tn_18,16:22:00,16:22:00,2384141,6,,0,0,1557.74491697073,0,,,,,1,1,,,,,,,,
t_1367404_b_29741_tn_18,16:24:00,16:24:00,2384122,7,,0,0,1948.61155177521,0,,,,,1,1,,,,,,,,
t_1367404_b_29741_tn_18,16:26:00,16:26:00,2574494,8,,0,0,2327.13178973831,0,,,,,1,1,,,,,,,,
t_1367404_b_29741_tn_18,16:30:00,16:30:00,2384136,9,,0,0,2868.35346122144,0,,,,,1,1,,,,,,,,
t_1367404_b_29741_tn_18,16:32:00,16:32:00,2384173,10,,0,0,3133.96448211657,0,,,,,1,1,,,,,,,,
t_1367404_b_29741_tn_18,16:33:00,16:33:00,2384134,11,,0,0,3372.52411482387,0,,,,,1,1,,,,,,,,
t_1367404_b_29741_tn_18,16:36:00,16:36:00,2574496,12,,0,0,3899.11722301853,0,,,,,1,1,,,,,,,,
t_1367404_b_29741_tn_18,16:39:00,16:39:00,2384175,13,,0,0,4176.42616748285,0,,,,,1,1,,,,,,,,
t_1367404_b_29741_tn_18,16:42:00,16:42:00,2384163,14,,0,0,4622.99695452091,0,,,,,1,1,,,,,,,,
t_1367404_b_29741_tn_18,16:44:00,16:44:00,2574450,15,,0,0,4893.24205415712,0,,,,,1,1,,,,,,,,
t_1367404_b_29741_tn_18,16:45:00,16:45:00,2384126,16,,0,0,5207.09384035,0,,,,,1,1,,,,,,,,
t_1367404_b_29741_tn_19,16:45:00,16:45:00,2384126,1,,0,0,0,0,,,,,1,1,,,,,,,,
t_1367404_b_29741_tn_19,16:46:00,16:46:00,2384166,2,,0,0,281.767775036468,0,,,,,1,1,,,,,,,,
t_1367404_b_29741_tn_19,16:49:00,16:49:00,2384154,3,,0,0,803.647509708825,0,,,,,1,1,,,,,,,,
t_1367404_b_29741_tn_19,16:51:00,16:51:00,2384155,4,,0,0,999.004133442488,0,,,,,1,1,,,,,,,,
t_1367404_b_29741_tn_19,16:53:00,16:53:00,2384168,5,,0,0,1146.77156137426,0,,,,,1,1,,,,,,,,
t_1367404_b_29741_tn_19,16:55:00,16:55:00,2384141,6,,0,0,1557.74491697073,0,,,,,1,1,,,,,,,,
t_1367404_b_29741_tn_19,16:57:00,16:57:00,2384122,7,,0,0,1948.61155177521,0,,,,,1,1,,,,,,,,
t_1367404_b_29741_tn_19,16:59:00,16:59:00,2574494,8,,0,0,2327.13178973831,0,,,,,1,1,,,,,,,,
t_1367404_b_29741_tn_19,17:03:00,17:03:00,2384136,9,,0,0,2868.35346122144,0,,,,,1,1,,,,,,,,
t_1367404_b_29741_tn_19,17:05:00,17:05:00,2384173,10,,0,0,3133.96448211657,0,,,,,1,1,,,,,,,,
t_1367404_b_29741_tn_19,17:06:00,17:06:00,2384134,11,,0,0,3372.52411482387,0,,,,,1,1,,,,,,,,
t_1367404_b_29741_tn_19,17:09:00,17:09:00,2574496,12,,0,0,3899.11722301853,0,,,,,1,1,,,,,,,,
t_1367404_b_29741_tn_19,17:12:00,17:12:00,2384175,13,,0,0,4176.42616748285,0,,,,,1,1,,,,,,,,
t_1367404_b_29741_tn_19,17:15:00,17:15:00,2384163,14,,0,0,4622.99695452091,0,,,,,1,1,,,,,,,,
t_1367404_b_29741_tn_19,17:17:00,17:17:00,2574450,15,,0,0,4893.24205415712,0,,,,,1,1,,,,,,,,
t_1367404_b_29741_tn_19,17:18:00,17:18:00,2384126,16,,0,0,5207.09384035,0,,,,,1,1,,,,,,,,
t_1367404_b_29741_tn_2,07:24:00,07:24:00,2384126,1,,0,0,0,0,,,,,1,1,,,,,,,,
t_1367404_b_29741_tn_2,07:25:00,07:25:00,2384166,2,,0,0,281.767775036468,0,,,,,1,1,,,,,,,,
t_1367404_b_29741_tn_2,07:28:00,07:28:00,2384154,3,,0,0,803.647509708825,0,,,,,1,1,,,,,,,,
t_1367404_b_29741_tn_2,07:30:00,07:30:00,2384155,4,,0,0,999.004133442488,0,,,,,1,1,,,,,,,,
t_1367404_b_29741_tn_2,07:32:00,07:32:00,2384168,5,,0,0,1146.77156137426,0,,,,,1,1,,,,,,,,
t_1367404_b_29741_tn_2,07:34:00,07:34:00,2384141,6,,0,0,1557.74491697073,0,,,,,1,1,,,,,,,,
t_1367404_b_29741_tn_2,07:36:00,07:36:00,2384122,7,,0,0,1948.61155177521,0,,,,,1,1,,,,,,,,
t_1367404_b_29741_tn_2,07:38:00,07:38:00,2574494,8,,0,0,2327.13178973831,0,,,,,1,1,,,,,,,,
t_1367404_b_29741_tn_2,07:42:00,07:42:00,2384136,9,,0,0,2868.35346122144,0,,,,,1,1,,,,,,,,
t_1367404_b_29741_tn_2,07:44:00,07:44:00,2384173,10,,0,0,3133.96448211657,0,,,,,1,1,,,,,,,,
t_1367404_b_29741_tn_2,07:45:00,07:45:00,2384134,11,,0,0,3372.52411482387,0,,,,,1,1,,,,,,,,
t_1367404_b_29741_tn_2,07:48:00,07:48:00,2574496,12,,0,0,3899.11722301853,0,,,,,1,1,,,,,,,,
t_1367404_b_29741_tn_2,07:51:00,07:51:00,2384175,13,,0,0,4176.42616748285,0,,,,,1,1,,,,,,,,
t_1367404_b_29741_tn_2,07:54:00,07:54:00,2384163,14,,0,0,4622.99695452091,0,,,,,1,1,,,,,,,,
t_1367404_b_29741_tn_2,07:56:00,07:56:00,2574450,15,,0,0,4893.24205415712,0,,,,,1,1,,,,,,,,
t_1367404_b_29741_tn_2,07:57:00,07:57:00,2384126,16,,0,0,5207.09384035,0,,,,,1,1,,,,,,,,
t_1367404_b_29741_tn_20,17:18:00,17:18:00,2384126,1,,0,0,0,0,,,,,1,1,,,,,,,,
t_1367404_b_29741_tn_20,17:19:00,17:19:00,2384166,2,,0,0,281.767775036468,0,,,,,1,1,,,,,,,,
t_1367404_b_29741_tn_20,17:22:00,17:22:00,2384154,3,,0,0,803.647509708825,0,,,,,1,1,,,,,,,,
t_1367404_b_29741_tn_20,17:24:00,17:24:00,2384155,4,,0,0,999.004133442488,0,,,,,1,1,,,,,,,,
t_1367404_b_29741_tn_20,17:26:00,17:26:00,2384168,5,,0,0,1146.77156137426,0,,,,,1,1,,,,,,,,
t_1367404_b_29741_tn_20,17:28:00,17:28:00,2384141,6,,0,0,1557.74491697073,0,,,,,1,1,,,,,,,,
