stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
16224,16224,Route 57 & Maider Rd,,43.200885,-76.277574,,,,,,0
16225,16225,Co Route 57 & Co Route 57A,,43.217547,-76.285139,,,,,,0
16226,16226,Main St & Chestnut St,,43.225407,-76.294782,,,,,,0
16227,16227,S 2nd St & Fay St,,43.313543,-76.405095,,,,,,0
16229,16229,S 2nd St & Division St,,43.315222,-76.409138,,,,,,0
16233,16233,Rte 57 & Dutch Ridge Rd,,43.412291,-76.47446,,,,,,0
16234,16234,Co Rte 57 & Highland Dr,,43.417984,-76.477097,,,,,,0
16235,16235,Rte 57 & Churchill Rd,,43.428546,-76.481574,,,,,,0
16238,16238,Dunbar Center,,43.032202,-76.146328,,,,,,0
16241,16241,Dunbar Center,,43.032202,-76.146365,,,,,,0
16244,16244,SW Community Center,,43.035219,-76.158884,,,,,,0
16245,16245,Ludovico Apartments,,43.055396,-76.1234,,,,,,0
16246,16246,Wegmans - James St & Thompson Rd,,43.068938,-76.087122,,,,,,0
16247,16247,Barrett Manor East,,43.085463,-76.077836,,,,,,0
16248,16248,Pitcher Hill Apts,,43.115921,-76.147231,,,,,,0
16250,16250,Malta Manor,,43.136228,-76.126196,,,,,,0
16253,16253,Barret Manor,,42.995933,-76.12072,,,,,,0
16256,16256,SW Community Center,,43.03521,-76.158933,,,,,,0
16257,16257,South Ave & E Bissel St,,43.025945,-76.158846,,,,,,0
16261,16261,River Mall,,43.153936,-76.350806,,,,,,0
16263,16263,Sacred Heart Apts,,43.172647,-76.119666,,,,,,0
16264,16264,Bayshore North Apts,CHALKSTONE CRSE & UNNAMED STREET,43.228643,-76.132096,,,,,,0
16265,16265,Rogers Apts,,43.229559,-76.135868,,,,,,0
16266,16266,Moses DeWitt Apts,,43.053365,-76.145507,,,,,,0
16267,16267,Regency Tower Apts,,43.055518,-76.139815,,,,,,0
16268,16268,Villa Scalabrini,,43.056478,-76.142479,,,,,,0
16269,16269,Brick School Terrace,,43.04593,-76.102958,,,,,,0
16273,16273,Ross Towers,,43.055338,-76.138494,,,,,,0
16274,16274,Eastwood Heights,,43.062483,-76.102479,,,,,,0
16275,16275,Saint Joseph's Manor,,43.070604,-76.103054,,,,,,0
16277,16277,Swiss Village Apts,,43.052438,-76.079916,,,,,,0
16278,16278,McCarthy Manor,,43.045363,-76.135894,,,,,,0
16279,16279,Clinton Plaza,,43.045287,-76.153626,,,,,,0
16280,16280,Onondaga Senior Apts,,43.031327,-76.195061,,,,,,0
16283,16283,Salina School Apts,,43.071989,-76.161095,,,,,,0
16284,16284,Fahey Court,,43.067967,-76.158582,,,,,,0
16285,16285,Pompei North Apts,,43.06422,-76.150737,,,,,,0
16286,16286,Bishop Harrison House,,43.064641,-76.151613,,,,,,0
16291,16291,Ahepa 37 Apts,,43.014247,-76.196456,,,,,,0
16294,16294,Franklin Square Apts,,43.057366,-76.156288,,,,,,0
16295,16295,Tops Town Center,,43.030934,-76.019726,,,,,,0
16296,16296,Eastview Apartments,,43.077237,-76.000129,,,,,,0
16301,16301,Mt St James,,43.022866,-76.136424,,,,,,0
16303,16303,N Townsend St & Ash St,,43.05977,-76.150854,,,,,,0
